"V1";"V2"
"1";"Friday"
"2";"Saturday"
"3,4,5,6,4,7";"Sunday"
"8";"Wednesday"
"4,9,4,10,11,12";"Thursday"
"13,4,14,15,16";"Saturday"
"4,17";"Monday"
"18,19,20,4,19,21,22";"Tuesday"
"23,24,25,4,26,27";"Thursday"
"28,29";"Friday"
"30,31,4,32,33,34,4";"Sunday"
"4,4,35,4,36";"Tuesday"
"37,4,38";"Wednesday"
"39,40";"Thursday"
"41,42,43";"Thursday"
"4,44";"Saturday"
"45,4,4,4";"Tuesday"
"46,4,4";"Friday"
"4,47";"Sunday"
"48,4,49,50";"Sunday"
"34,4,36,4";"Monday"
"4,4,51,52";"Wednesday"
"4,53,54";"Friday"
"55,56";"Saturday"
"57,58,59";"Sunday"
"4,60,13,61,62,63,64,65,66,67,4,68,4";"Monday"
"69,70,71,4,72";"Thursday"
"73,4";"Friday"
"74,75";"Saturday"
"4";"Sunday"
"4,76";"Monday"
"13,4,77,4";"Tuesday"
"52,4,78";"Wednesday"
"4,79,80,81";"Thursday"
"4,42,4,4,82,83,84,4";"Friday"
"85";"Wednesday"
"86";"Wednesday"
"87,13,88";"Thursday"
"89,4";"Wednesday"
"4,32,90";"Thursday"
"4,4,4,4";"Monday"
"4,30,4";"Wednesday"
"91,4,4,4,92,93";"Wednesday"
"4";"Saturday"
"4,4";"Monday"
"91,94,4,95";"Monday"
"4";"Tuesday"
"4";"Wednesday"
"4,49,4,96";"Thursday"
"4,4,42,97,4";"Thursday"
"98,99,100";"Saturday"
"101";"Sunday"
"4";"Monday"
"102,103";"Monday"
"4,104,4";"Friday"
"105,106,4,107";"Saturday"
"108,109,110,111";"Sunday"
"4,112";"Monday"
"113,114,115,116,4";"Tuesday"
"4,4,117";"Friday"
"118,4,119,120,4,75";"Saturday"
"121,122";"Monday"
"106";"Tuesday"
"123";"Wednesday"
"4,124,4,125,4,126,4,127,4,128";"Thursday"
"4,129,130";"Saturday"
"4,32";"Sunday"
"4";"Monday"
"4,4";"Tuesday"
"131,132";"Wednesday"
"4";"Thursday"
"133,4,4";"Friday"
"134,135";"Saturday"
"136,4,137,138,139,4";"Saturday"
"4,74,140,75,4,141,142,143,144,4";"Wednesday"
"4,75,145";"Saturday"
"4,4,4,4,146";"Monday"
"147,4,148";"Wednesday"
"4,4,4,4,149,150";"Thursday"
"4,151,4,152,4";"Friday"
"153,154";"Sunday"
"4,155,75,156,4";"Monday"
"157,4,158,4,4,159,160,161";"Wednesday"
"161,162,163,164,165";"Saturday"
"166,167,168";"Sunday"
"4,169,170";"Monday"
"16,171,172,173,16";"Monday"
"4,4,4,4,4,11,4,159,4";"Wednesday"
"4";"Saturday"
"4,174,175";"Sunday"
"4,159,4";"Monday"
"176,4,4";"Monday"
"177,178,4,179,4";"Wednesday"
"159,4,49,4";"Thursday"
"180,4";"Saturday"
"181,182,183";"Sunday"
"184,4,4,4";"Sunday"
"185,4";"Tuesday"
"151,4,186,4,187";"Wednesday"
"4,168";"Thursday"
"4,188,189,190,4,4";"Friday"
"4,4,4,4,191,192,193,194,4";"Saturday"
"195,4,196";"Sunday"
"197,4,4,4,4,198";"Monday"
"199,200";"Thursday"
"201,202,203,204,4,205,206";"Friday"
"4,207,208,209";"Sunday"
"4,4,210,18,151";"Monday"
"211,206,4,212";"Tuesday"
"4,213,4";"Friday"
"153,214,138";"Saturday"
"215,12,4";"Monday"
"4,216,217,4,75,4,218";"Tuesday"
"4,146,219,21,91,4";"Wednesday"
"4,75,220";"Friday"
"4,221,222";"Sunday"
"4,75,223,4,34,224,225,4,4,226,4";"Monday"
"227,228,12,4,229";"Wednesday"
"4,4";"Saturday"
"4,230,231";"Monday"
"232,91,233,234,4,4,4,4,235,4,236";"Tuesday"
"153";"Friday"
"168,237,153";"Saturday"
"4,4,238,4";"Monday"
"90,4";"Tuesday"
"239";"Tuesday"
"4,34,240,4";"Wednesday"
"4,4";"Thursday"
"4,241,4,242";"Friday"
"243,114,244";"Saturday"
"245";"Sunday"
"85,246";"Monday"
"90,4,247,4,75";"Tuesday"
"4,18";"Thursday"
"4,248";"Friday"
"249,250";"Saturday"
"4,75";"Monday"
"4,4,223";"Tuesday"
"4,75,251,4";"Wednesday"
"252,234";"Thursday"
"4,253,4,75,254,255";"Friday"
"13,256,257,4,258,259,4,4,260";"Sunday"
"261";"Thursday"
"242,224,34,4,262,263,230,264,265,4";"Thursday"
"266,4,4,115,4,136";"Monday"
"4,267,247,268,4,269,270,26";"Tuesday"
"271,272,273,274";"Friday"
"4,275,276,277,4,278,279";"Saturday"
"280,75";"Monday"
"272,49,281,4,282";"Tuesday"
"283,284,212,4,4,169";"Wednesday"
"285,286,287,288";"Saturday"
"138,289";"Sunday"
"290,4,291,75,4,75,4";"Monday"
"4,4,4,32,4,292,293,294";"Wednesday"
"4,295,4";"Saturday"
"4,166,145,296,4";"Sunday"
"4,190,297";"Monday"
"4,4";"Tuesday"
"4,4,4";"Thursday"
"298,299,4,300,4";"Friday"
"203,301,4";"Saturday"
"302,303,304,161";"Sunday"
"4";"Monday"
"4,305";"Tuesday"
